codeCIS;codeSubstance;dosage;referenceDosage
61889646;1545;3CH à 30CH et 5DH à 60DH (pommade à 4%);100 ml
61889646;1545;3CH à 30CH et 5DH à 60DH;100 ml
61889646;1545;3CH à 30CH et 5DH à 60DH;100 ml
61889646;1545;3CH à 30CH et 5DH à 60DH;100 ml
61889660;420;50 mg;un comprimé
61889660;1023;500 mg;un comprimé
61889660;3848;400 mg;un comprimé
61889938;60310;10 mg;un comprimé
61890004;72;5,0 mg;une ampoule de 1 ml
61890673;819;1,50 mg;un comprimé
61890673;39727;5 mg;un comprimé
61890673;93748;6,935 mg;un comprimé
61891533;23957;15,00 mg;une gélule gastro-résistante
61892119;9414;3 g;un sachet de 3,760 g
61892368;71041;100 mg;un comprimé
61892457;33207;10 mg;un comprimé
61893438;2092;400 mg;un comprimé
61893609;32611;18 microgrammes;une gélule
61893609;61522;21,7 microgrammes;une gélule
61894006;76589;0,50 mg;un comprimé
61895318;91291;2CH à 30CH et 4DH à 60DH;un comprimé
61895318;91291;2CH à 30CH et 4DH à 60DH;un comprimé
61895503;7055;103,63 mg;un comprimé
61895503;28372;100 mg;un comprimé
61896199;428;2500 mg;un sachet de 8 g
61896199;1525;22 microgrammes;un sachet de 8 g
61896199;72723;1000 mg;un sachet de 8 g
61896199;85054;880 UI;un sachet de 8 g
61896473;68555;au minimum 10^3,7 DICC50;une dose de 0,5 ml de solution reconstitué
61896473;85085;au minimum 10^3,0 DICC50;une dose de 0,5 ml de solution reconstitué
61896473;97753;au minimum 10^3,0 DICC50;une dose de 0,5 ml de solution reconstitué
61896498;28021;1 g;100 ml de solution
61896847;2560;200 mg;un comprimé
61897358;62625;4CH à 30CH et 8DH à 60DH;un comprimé
61897358;62625;4CH à 30CH et 8DH à 60DH;un comprimé
61897358;62625;4CH à 30CH et 8DH à 60DH (pommade à 4 %);un comprimé
61897358;62625;4CH à 30CH et 8DH à 60DH;un comprimé
61897358;62625;4CH à 30CH et 8DH à 60DH;un comprimé
61897358;62625;4CH à 30CH et 8DH à 60DH;un comprimé
61897454;2064;25 mg;un comprimé
61897454;71153;80 mg;un comprimé
61897671;7436;3,75 mg;un comprimé
61897792;60091;98,5 mg;une gélule
61897792;74746;75 mg;une gélule
61898734;4963;100 mg;100 ml
61900982;54459;32 mg;une seringue préremplie
61901618;35232;1 g;10 ml de solution reconstituée
61901995;95609;500 mg;un flacon de 5 ml
61902218;61321;5 mg;un comprimé
61902232;2092;20 mg;1 ml de suspension buvable
61903804;2202;1000 mg;une gélule
61904023;24563;500,00 mg;un comprimé
61904596;66431;400 mg;une poche de 200 ml
61904639;31416;75 mg;un comprimé
61905997;98159;5 mg;un comprimé
61906519;51799;1000 UI;un flacon
61907012;94553;5,0 mg;un comprimé
61907293;27570;300 mg;une gélule
61907585;62155;8 mg;un comprimé
61908071;2202;500 mg;une gélule
61908153;34909;5 microgrammes;1 ml de solution injectable
61910478;5414;0,700 g;100 ml de solution
61911861;39422;25 mg;une gélule
61912155;1080;1 mg;1 mL de solution injectable
61912415;975;750 000 U.I.;un comprimé
61912415;2382;125 mg;un comprimé
61913385;20890;100,0000 mg;un comprimé
61914124;2099;0,35 mg;un récipient unidose
61914590;8829;4CH à 30CH et 8DH à 60DH;un récipient unidose
61914590;8829;4CH à 30CH et 8DH à 60DH;un récipient unidose
61914590;8829;4CH à 30CH et 8DH à 60DH (pommade à 4 %);un récipient unidose
61914590;8829;4CH à 30CH et 8DH à 60DH;un récipient unidose
61914590;8829;4CH à 30CH et 8DH à 60DH;un récipient unidose
61914590;8829;4CH à 30CH et 8DH à 60DH;un récipient unidose
61914601;25643;2CH à 30CH et 4DH à 60DH;un récipient unidose
61914601;25643;2CH à 30CH et 4DH à 60DH;un récipient unidose
61914601;25643;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un récipient unidose
61914601;25643;2CH à 30CH et 4DH à 60DH;un récipient unidose
61914601;25643;2CH à 30CH et 4DH à 60DH;un récipient unidose
61914601;25643;2CH à 30CH et 4DH à 60DH;un récipient unidose
61917063;1672;5 mg;100 ml
61918795;8011;100 mg;un flacon
61919121;22692;2 g;100 g de crème
61920248;4129;500 mg;un comprimé
61920718;25222;2CH à 30CH et 4DH à 60DH;un comprimé
61920718;25222;2CH à 30CH et 4DH à 60DH;un comprimé
61920718;25222;2CH à 30CH et 4DH à 60DH;un comprimé
61920725;49997;50 microgrammes;une dose de 0,5 ml de vaccin reconstitué
61920725;98882;50 microgrammes;une dose de 0,5 ml de vaccin reconstitué
61921439;52475;4CH à 30CH et 8DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
61921439;52475;4CH à 30CH et 8DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
61921439;52475;4CH à 30CH et 8DH à 60DH (pommade à 4 %);une dose de 0,5 ml de vaccin reconstitué
61921439;52475;4CH à 30CH et 8DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
61921439;52475;4CH à 30CH et 8DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
61921439;52475;4CH à 30CH et 8DH à 60DH;une dose de 0,5 ml de vaccin reconstitué
61921510;974;500 mg;un comprimé
61921930;28643;2CH à 30CH et 4DH à 60DH;un comprimé
61921930;28643;2CH à 30CH et 4DH à 60DH;un comprimé
61921930;28643;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé
61921930;28643;2CH à 30CH et 4DH à 60DH;un comprimé
61921930;28643;2CH à 30CH et 4DH à 60DH;un comprimé
61921930;28643;2CH à 30CH et 4DH à 60DH;un comprimé
61923059;17061;4,800 g;100 g de granulés
61923059;99303;6,261 g;100 g de granulés
61923340;981;250 mg;un comprimé
61923511;73208;20 mg;un comprimé
61924200;17637;50 mg;un comprimé
61924474;355;200 mg;un comprimé
61924481;862;1,5 g;un sachet-dose
61926087;78429;200 mg;un comprimé
61926144;5562;500 mg;un comprimé
61926183;1901;1,570 mg;1 ml de solution
61926183;17477;1000 microgrammes;1 ml de solution
61926518;16860;6 000 UI;une seringue préremplie de 0,3 ml
61926913;979;250 mg;une cuillère-mesure de 5 ml après reconstitution
61927417;823;100 mg;un comprimé
61927584;97144;125 mg;un stylo prérempli
61928896;73594;8 mg;un comprimé
61928914;38050;1000 mg;un flacon
61929560;60920;1 mg;un flacon
61930096;4235;312 mg;un comprimé
61931376;13794;2CH à 30CH et 4DH à 60DH;un comprimé
61931376;13794;2CH à 30CH et 4DH à 60DH;un comprimé
61931796;78924;6,39 mg;un comprimé
61931796;89971;5 mg;un comprimé
61931910;50921;0,1 - 300 GBq à la date et à l'heure de référence;1 ml de solution
61932026;2754;200 mg;un comprimé
61932485;24833;100 mg;un comprimé
61932485;48705;100 mg;un comprimé
61932485;83492;400 mg;un comprimé
61935264;65061;5,631 g;un sachet
61935264;78578;3 g;un sachet
61935346;95609;500 mg;un flacon de 5 ml
61937233;8351;60 mg;une seringue pré-remplie de 0,6 ml
61937888;20540;50 mg;un comprimé
61937984;3682;20 mg;un comprimé
61937984;36746;20 mg;un comprimé
61937984;67432;15,28 mg;un comprimé
61937984;83912;18,88 mg;un comprimé
61938189;977;50 mg;un comprimé
61938584;25715;5 g;100 g de crème
61938997;1261; 0,050 g; 100 g de crème
61938997;4730;0,064 g; 100 g de crème
61939017;2064;25 mg;un comprimé
61939017;15734;160 mg;un comprimé
61939921;39727;10 mg;une gélule
61939921;93748;13,889 mg;une gélule
61940966;55705;42,12 mg;une gélule
61940966;80889;40 mg;une gélule
61940980;1080;0,005 mg;1 ml de solution
61940980;4280;0,009 mg;1 ml de solution
61940980;16661;40,00 mg;1 ml de solution
61941057;42430;5 mg;1 ml de solution à diluer pour perfusion
61941356;3613;6 DH;1 ml de solution à diluer pour perfusion
61941356;6960;6 DH;1 ml de solution à diluer pour perfusion
61941356;28969;6 DH;1 ml de solution à diluer pour perfusion
61941356;47878;6 DH;1 ml de solution à diluer pour perfusion
61941356;62479;15 DH;1 ml de solution à diluer pour perfusion
61941356;3613;6 DH;1 ml de solution à diluer pour perfusion
61941356;6960;6 DH;1 ml de solution à diluer pour perfusion
61941356;28969;6 DH;1 ml de solution à diluer pour perfusion
61941356;47878;6 DH;1 ml de solution à diluer pour perfusion
61941356;62479;15 DH;1 ml de solution à diluer pour perfusion
61941979;4962;187,8 mg;un comprimé
61942561;1257;24 mg;un comprimé
61942668;3902;160 mg;un comprimé
61943478;2382;500 mg;un flacon
61944313;500;0,190 g;100 g de pommade
61944313;4805;0,500 g;100 g de pommade
61945162;762;100 mg;un comprimé
61945454;56635;20 mg;1 g de gel
61945753;11532;10,000 mg;un comprimé
61946403;5;100 mg;un comprimé
61946531;2064;6,25 mg;un comprimé
61946531;7436;10 mg;un comprimé
61946727;21562;2CH à 30CH et 4DH à 60DH;un comprimé
61946727;21562;2CH à 30CH et 4DH à 60DH;un comprimé
61946727;21562;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé
61946727;21562;2CH à 30CH et 4DH à 60DH;un comprimé
61946727;21562;2CH à 30CH et 4DH à 60DH;un comprimé
61946727;21562;2CH à 30CH et 4DH à 60DH;un comprimé
61947423;52431;1,6975 mg;un comprimé
61947423;69916;2,5 mg;un comprimé
61950444;10091;47,50 mg;un comprimé
61950444;56173;5 mg;un comprimé
61951090;84452;125 mg;un sachet
61951546;2640;1 g;100 ml de suspension rectale
61951635;267;6CH;un tube
61951635;1397;6CH;un tube
61951635;4100;6CH;un tube
61951635;4605;6CH;un tube
61951635;9312;6CH;un tube
61951635;71817;6CH;un tube
61951699;27173;95,7 mg;un comprimé
61951699;83586;75 mg;un comprimé
61952274;5;75 mg;un comprimé
61952274;52920;97,875 mg;un comprimé
61952274;54693;75 mg;un comprimé
61952527;23247;5 mg;un comprimé
61952527;45847;5,390 mg;un comprimé
61954421;39422;150 mg;une gélule
61955523;2064;12,5 mg;un comprimé
61955523;96027;5 mg;un comprimé
61955644;47834;6,75 mg;0,9 mL de solution
61955893;3778;0,200 g;100 ml
61955893;4771;0,500 g;100 ml
61955893;24735;0,985 g;100 ml
61955893;33959;1,065 g;100 ml
61956187;48800;400 mg;100 mL de solution
61956276;2064;12,5 mg;un comprimé
61956276;31416;300 mg;un comprimé
61956319;95609;500 mg;un comprimé
61957061;9061;2CH à 30CH et 4DH à 60DH;un comprimé
61957061;9061;2CH à 30CH et 4DH à 60DH;un comprimé
61957061;9061;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé
61957061;9061;2CH à 30CH et 4DH à 60DH;un comprimé
61957061;9061;2CH à 30CH et 4DH à 60DH;un comprimé
61957061;9061;2CH à 30CH et 4DH à 60DH;un comprimé
61957392;112;q s p 10 milliards de LACTOBACILLUS L B inactivés dans 800 mg de poudre;un sachet
61957392;17000;160 mg dans 800mg de poudre;un sachet
61957392;99612;q s p 10 milliards de LACTOBACILLUS L B inactivés dans 800 mg de poudre;un sachet
61957549;49595;1 g;un flacon de poudre
61958462;37533;90 mg;un comprimé
61958697;11279;200,00 mg;une gélule
61958925;93;600 mg;un comprimé
61958925;30272;8 mmol;un comprimé
61959265;2092;200,00 mg;un comprimé
61959265;2278;30,00 mg;un comprimé
61959735;2092;400 mg;une capsule
61959781;4180;0,740 mg;un comprimé
61959781;54660;27,800 mg;un comprimé
61959781;86368;12,000 mg;un comprimé
61960118;15734;160 mg;un comprimé
61960303;31;14 g;1000 ml
61960303;297;9,31 g;1000 ml
61960303;544;3 g;1000 ml
61960303;550;5 g;1000 ml
61960303;555;7,4 g;1000 ml
61960303;563;6,6 g;1000 ml
61960303;610;5,1 g;1000 ml
61960303;629;6,5 g;1000 ml
61960303;658;4,4 g;1000 ml
61960303;674;2 g;1000 ml
61960303;675;6,2 g;1000 ml
61960303;1021;11 g;1000 ml
61960303;1178;12 g;1000 ml
61960303;1603;1 g;1000 ml
61960303;2666;4,3 g;1000 ml
61960303;3482;11,2 g;1000 ml
61960303;3605;0,4 g;1000 ml
61961476;126;15,20 mg;un comprimé
61961476;35166;10,00 mg;un comprimé
61962699;26036;100 mg;un comprimé
61962699;91389;125 mg;un comprimé
61962852;87;25 mg;une gélule
61963153;30613;12 microgrammes;une dose
61963954;831;0,306 mg;une ampoule de 2 ml
61963954;64114;0,1 mg;une ampoule de 2 ml
61964013;95609;100 mg;1 ml
61964091;420;50 mg;un comprimé
61964091;2202;500 mg;un comprimé
61964294;77086;5 mg;une gélule
61964472;1354;10 mg;un comprimé
61966199;3151;0,60 mg;une pastille
61966199;3152;1,20 mg;une pastille
61966263;73;5 mg;un comprimé
61966605;24563;500 mg;un comprimé
61967205;3902;160 mg;un comprimé
61968442;960;10 mg;une cartouche
61969156;13556;150 mg;une gélule
61969188;46523;300 mg;un flacon de 30 ml
61969626;191;4,434 g;100 ml
61969626;63130;4 g;100 ml
61970183;67473;10 mg;un flacon de 2 ml
61971381;608;0,50 g;100 ml
61971381;901;0,90 g;100 ml
61971520;99222;150 mg;1 ml de solution
61972227;2463;4 g;100 g
61972768;2345;30 mg;un stylo injecteur prérempli de 0,60 mL de solution
61973261;87040;4CH à 30CH et 8DH à 60DH;un stylo injecteur prérempli de 0,60 mL de solution
61973261;87040;4CH à 30CH et 8DH à 60DH;un stylo injecteur prérempli de 0,60 mL de solution
61973261;87040;4CH à 30CH et 8DH à 60DH (pommade à 4 %);un stylo injecteur prérempli de 0,60 mL de solution
61973261;87040;4CH à 30CH et 8DH à 60DH;un stylo injecteur prérempli de 0,60 mL de solution
61973261;87040;4CH à 30CH et 8DH à 60DH;un stylo injecteur prérempli de 0,60 mL de solution
61973261;87040;4CH à 30CH et 8DH à 60DH;un stylo injecteur prérempli de 0,60 mL de solution
61973350;26382;200 mg;un comprimé
61974317;2088;400 mg;un comprimé
61976243;53763;20 mg;un comprimé
61977014;1215;2,50 mg;un comprimé
61977014;2329;0,10 mg;un comprimé
61979289;16860;2000 UI;une seringue préremplie de 0,3 ml
61981016;877;50 mg;un comprimé
61981742;6657;4CH à 30CH et 7DH à 60DH;un comprimé
61981742;6657;4CH à 30CH et 7DH à 60DH;un comprimé
61981742;6657;4CH à 30CH et 7DH à 60DH (pommade à 4 %);un comprimé
61981742;6657;4CH à 30CH et 7DH à 60DH;un comprimé
61981742;6657;4CH à 30CH et 7DH à 60DH;un comprimé
61981742;6657;4CH à 30CH et 7DH à 60DH;un comprimé
61981906;2345;25 mg;1 ml de solution injectable
61983729;20394;5 mg;un comprimé
61983743;6;1,28 g;1000 ml d'émulsion reconstituée
61983743;31;6,41 g;1000 ml d'émulsion reconstituée
61983743;297;4,88 g;1000 ml d'émulsion reconstituée
61983743;529;140 g;1000 ml d'émulsion reconstituée
61983743;544;2,64 g;1000 ml d'émulsion reconstituée
61983743;550;2,21 g;1000 ml d'émulsion reconstituée
61983743;555;3,07 g;1000 ml d'émulsion reconstituée
61983743;563;3,48 g;1000 ml d'émulsion reconstituée
61983743;610;3,07 g;1000 ml d'émulsion reconstituée
61983743;629;1,75 g;1000 ml d'émulsion reconstituée
61983743;658;2,21 g;1000 ml d'émulsion reconstituée
61983743;674;0,74 g;1000 ml d'émulsion reconstituée
61983743;675;2,83 g;1000 ml d'émulsion reconstituée
61983743;1021;3,07 g;1000 ml d'émulsion reconstituée
61983743;1044;2,21 g;1000 ml d'émulsion reconstituée
61983743;1178;4,34 g;1000 ml d'émulsion reconstituée
61983743;2666;2,21 g;1000 ml d'émulsion reconstituée
61983743;3482;2,64 g;1000 ml d'émulsion reconstituée
61983743;3605;0,11 g;1000 ml d'émulsion reconstituée
61983743;4951;huile d'olive raffinée + huile de soja : 40 g;1000 ml d'émulsion reconstituée
61983743;17150;154,00 g;1000 ml d'émulsion reconstituée
61983743;19874;huile d'olive raffinée + huile de soja : 40 g;1000 ml d'émulsion reconstituée
61983832;96835;15 mg;un comprimé
61984083;529;10 g;100 ml de solution pour perfusion
61986853;33609;500 mg dont 450 mg de diosmine et 50 mg de flavonoïdes exprimés en hespéridine;un comprimé
61988861;69392;300 mg;un flacon de 2 mL de solution
61989408;568;0,037 g;100 g
61989408;637;2,040 g;100 g
61989408;659;0,037 g;100 g
61989408;900;2,000 g;100 g
61989408;3666;0,075 g;100 g
61989408;5557;0,090 g;100 g
61989753;188;200 mg;un sachet-dose de 2 g
61989753;213;430 mg;un sachet-dose de 2 g
61989753;3128;10,8 mg à 12,5 mg;un sachet-dose de 2 g
61989835;1257;24 mg;un comprimé
61990104;25681;100 mg;un comprimé
61990606;12855;550 mg;un comprimé
61991793;45087;35 mg;un comprimé
61991793;99915;32,50 mg;un comprimé
61992169;3885;200 mg;un comprimé
61992169;4090;50 mg;un comprimé
61992169;11448;54 mg;un comprimé
61992169;87471;200 mg;un comprimé
61992596;86029;4CH à 30CH et 8DH à 60DH;un comprimé
61992596;86029;4CH à 30CH et 8DH à 60DH;un comprimé
61992596;86029;4CH à 30CH et 8DH à 60DH (pommade à 4 %);un comprimé
61992596;86029;4CH à 30CH et 8DH à 60DH;un comprimé
61992596;86029;4CH à 30CH et 8DH à 60DH;un comprimé
61992596;86029;4CH à 30CH et 8DH à 60DH;un comprimé
61993698;532;0,630 g;un suppositoire
61995489;4963;0,100 g;100 ml
61995489;5432;0,200 g;100 ml
61995884;15988;100 UI;1 ml
61996139;18827;0,25 mg;un comprimé
61996139;47554;0,18 mg;un comprimé
61997052;1807;0,050 mg;un comprimé
61998282;39422;50 mg;une gélule
61999103;8351;80 mg équivalent à 8 000 UI activité anti Xa;une seringue préremplie
62000092;37011;50 mg;un comprimé
62000384;4186;660 mg;un comprimé
62000384;72723;167 mg;un comprimé
62000441;72525;100 UI;1 mL de solution
62000612;280;66,75 mg;une ampoule
62000612;22273;50 mg;une ampoule
62000861;3498;25 mg;1 ml
62001372;899;3,59 g;1000 mL de solution
62001372;901;6,18 g;1000 mL de solution
62001372;93;1,34 g;1000 mL de solution
62001372;430;1,98 g;1000 mL de solution
62001372;529;9,00 g;1000 mL de solution
62001372;901;4,21 g;1000 mL de solution
62001372;3018;0,91 g;1000 mL de solution
62001372;17150;9,90 g;1000 mL de solution
62001632;901;10,0 g;100 ml de solution à diluer injectable
62002638;45082;500 mg;un flacon
62002809;2169;5,00 mg;un comprimé
62002809;3981;7,86 mg;un comprimé
62003149;628;1,5 mg;un comprimé
62003149;3371;20 mg;un comprimé
62003590;987;2,000 mg;un comprimé
62003590;1807;0,035 mg;un comprimé
62003633;24567;38,5 microgrammes;un flacon
62004984;49579;10 mg;1 mL de solution à diluer
62005075;19809;20 mg;un comprimé
62005075;39727;10 mg;un comprimé
62005075;52431;6,79 mg;un comprimé
62005075;69916;10 mg;un comprimé
62005075;92464;21,64 mg;un comprimé
62005075;93748;13,87 mg;un comprimé
62005716;53415;50 mg;un comprimé
62005716;85275;12,5 mg;un comprimé
62005716;93622;75 mg;un comprimé
62005883;60929;10 mg;un comprimé
62005890;63854;200 mg;une gélule
62006750;55485;1 mg;un comprimé
62007051;49207;10 mg;un comprimé
62007051;72074;8,31 mg;un comprimé
62007966;34647;3 500 UI Anti-Xa;0,35 ml de solution
62008580;2201;5 g;100 g de pommade
62009928;3151;0,60 mg;une pastille
62009928;3152;1,20 mg;une pastille
62010250;30116;4CH à 30CH et 8DH à 60DH;une pastille
62010250;30116;4CH à 30CH et 8DH à 60DH;une pastille
62010250;30116;4CH à 30CH et 8DH à 60DH (pommade à 1 %, 4 % ou 10 %);une pastille
62010250;30116;4CH à 30CH et 8DH à 60DH;une pastille
62010250;30116;4CH à 30CH et 8DH à 60DH;une pastille
62010250;30116;4CH à 30CH et 8DH à 60DH;une pastille
62010414;7603;20 mg;1 ml
62011103;1328;2 mg;un comprimé
62013136;2202;500 mg;un comprimé
62013175;4179;250 microgrammes;une dose
62013232;48528;50 mg;un comprimé
62013296;2476;50 mg;une gélule
62013467;823;200 mg;un comprimé
62015062;69478;0,5 mg;une gélule
62015977;3226;50 mg;une gélule
62016239;3902;67 mg;une gélule
62016449;62611;4CH à 30CH et 7DH à 60DH;une gélule
62016449;62611;4CH à 30CH et 7DH à 60DH;une gélule
62016449;62611;4CH à 30CH et 7DH à 60DH (pommade à 4 %);une gélule
62016449;62611;4CH à 30CH et 7DH à 60DH;une gélule
62016449;62611;4CH à 30CH et 7DH à 60DH;une gélule
62016449;62611;4CH à 30CH et 7DH à 60DH;une gélule
62016456;529;30 g;100 ml de solution pour perfusion
62017113;817;0,10 g;100 g de pommade
62017273;19551;2CH à 30CH et 4DH à 60DH;100 g de pommade
62017273;19551;2CH à 30CH et 4DH à 60DH;100 g de pommade
62017273;19551;2CH à 30CH et 4DH à 60DH (pommade à 4 %);100 g de pommade
62017273;19551;2CH à 30CH et 4DH à 60DH;100 g de pommade
62017273;19551;2CH à 30CH et 4DH à 60DH;100 g de pommade
62017273;19551;2CH à 30CH et 4DH à 60DH;100 g de pommade
62018101;5;500 mg;1 g de poudre
62018101;3107;900 mg;1 g de poudre
62018514;65817;20 mg;un comprimé
62018628;915;25 mg;un flacon de lyophilisat
62019370;19809;40 mg;un comprimé
62022046;1807;30 microgrammes;un comprimé
62022046;27380;150 microgrammes;un comprimé
62022480;25715;5 g;100 g de crème
62022612;17723;5 mg;un comprimé
62022861;762;100 mg;un comprimé
62023123;99686;100 microgrammes;un flacon de 1 ml
62024136;1080;0,1 mg;1 ml de solution injectable
62024766;19486;2CH à 30CH et 4DH à 60DH;1 ml de solution injectable
62024766;19486;2CH à 30CH et 4DH à 60DH;1 ml de solution injectable
62024766;19486;2CH à 30CH et 4DH à 60DH;1 ml de solution injectable
62025327;51458;50 mg;un comprimé
62025626;36065;0,5 mg;une capsule
62026233;532;15 g;100 g
62026233;676;8 g;100 g
62026233;19236;2 g;100 g
62026621;17061;100,00 mg;un comprimé
62026945;29871;3 mg;un comprimé
62027794;53763;10 mg;un comprimé
62027876;44815;15 microgrammes d' hémagglutinine;une dose de 0,5 ml
62027876;66536;15 microgrammes d'hémagglutinine;une dose de 0,5 ml
62027876;79933;15 microgrammes d'hémagglutinine;une dose de 0,5 ml
62027883;5248;100 mg;1 ml de suspension reconstituée
62027883;93286;12,5 mg;1 ml de suspension reconstituée
62028152;216;200,0 mg;un comprimé
62028825;1525;2,5 mg;une ampoule de 2 mL
62028953;987;50,00 mg;un comprimé
62029749;53028;5 mg;1 ml de solution
62029749;62835;6,69 mg;1 ml de solution
62030712;6780;2CH à 30CH et 4DH à 60DH;1 ml de solution
62030712;6780;2CH à 30CH et 4DH à 60DH;1 ml de solution
62030712;6780;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);1 ml de solution
62030712;6780;2CH à 30CH et 4DH à 60DH;1 ml de solution
62030712;6780;2CH à 30CH et 4DH à 60DH;1 ml de solution
62030712;6780;2CH à 30CH et 4DH à 60DH;1 ml de solution
62030744;44461;300 Unités;1 mL de solution
62030819;25994;5CH à 30CH et 10DH à 60DH;1 mL de solution
62030819;25994;5CH à 30CH et 10DH à 60DH;1 mL de solution
62030819;25994;5CH à 30CH et 10DH à 60DH (pommade à 4 %);1 mL de solution
62030819;25994;5CH à 30CH et 10DH à 60DH;1 mL de solution
62030819;25994;5CH à 30CH et 10DH à 60DH;1 mL de solution
62030819;25994;5CH à 30CH et 10DH à 60DH;1 mL de solution
62031077;55485;2 mg;un comprimé
62031508;1080;0,5 mg;1 ml
62031593;32833;8 mg;une gélule
62033904;11279;200 mg;une gélule
62034970;38524;40 mg;un comprimé
62034970;67373;45,113 mg;un comprimé
62036213;28589;0,389 mg;une gélule
62036213;33543;0,300 mg;une gélule
62036633;76840;0,4 mg;un comprimé
62036900;3633;5 mg;une ampoule de 5 mL de solution injectable
62038157;977;75,00 mg;un comprimé
62038794;2754;200 mg;un comprimé
62039483;78975;2,5 mg;un comprimé
62039654;7504;3CH à 30CH et 5DH à 60DH (crème à 4 %);un comprimé
62039654;7504;3CH à 30CH et 5DH à 60DH;un comprimé
62039654;7504;3CH à 30CH et 5DH à 60DH;un comprimé
62039654;7504;3CH à 30CH et 5DH à 60DH;un comprimé
62039768;10171;20 mg;un comprimé
62040674;5;0,267 g;un comprimé
62040674;420;0,040 g;un comprimé
62040674;2202;0,133 g;un comprimé
62042102;39727;5,00 mg;une gélule
62042376;80114;40 mg;une seringue unidose 0,8 mL
62042675;3044;5 g;100 ml de solution buvable
62043026;1807;15 microgrammes;un comprimé
62043026;8237;60 microgrammes;un comprimé
62043268;7877;2CH à 30CH et 4DH à 60DH;un comprimé
62043268;7877;2CH à 30CH et 4DH à 60DH;un comprimé
62043268;7877;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé
62043268;7877;2CH à 30CH et 4DH à 60DH;un comprimé
62043268;7877;2CH à 30CH et 4DH à 60DH;un comprimé
62043268;7877;2CH à 30CH et 4DH à 60DH;un comprimé
62044256;4773;20 mg;un comprimé
62044256;58713;20,60 mg;un comprimé
62044434;73594;4 mg;un comprimé
62044509;23186;30 mg;une seringue préremplie de 3 mL
62045486;15304;20 mg;un comprimé
62046798;73208;20 mg;un comprimé
62047793;12855;550 mg;un comprimé
62047925;19809;20 mg;un comprimé
62047925;92464;21,69 mg;un comprimé
62047971;1406;2CH à 30CH et 4DH à 60DH;un comprimé
62047971;1406;2CH à 30CH et 4DH à 60DH;un comprimé
62047971;1406;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé
62047971;1406;2CH à 30CH et 4DH à 60DH;un comprimé
62047971;1406;2CH à 30CH et 4DH à 60DH;un comprimé
62047971;1406;2CH à 30CH et 4DH à 60DH;un comprimé
62048087;12999;7,5 mg;un comprimé
62048105;3026;400 mg;une capsule molle vaginale de 2,92 g
62048799;76589;1 mg;un comprimé
62048906;280;333,70 mg;un flacon de poudre
62048906;22273;250 mg;un flacon de poudre
62049552;2202;500 mg;une gélule
62049552;74765;30 mg;une gélule
62051172;69478;0,5 mg;une gélule
62052833;24381;3 mg;une gélule
62055338;98763;2,5 mg;un comprimé
62056326;73242;10 mg;un comprimé
62056415;28336;20 mg;un comprimé
62056504;677;2CH à 30CH et 4DH à 60DH;un comprimé
62056504;677;2CH à 30CH et 4DH à 60DH;un comprimé
62056504;677;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé
62056504;677;2CH à 30CH et 4DH à 60DH;un comprimé
62056504;677;2CH à 30CH et 4DH à 60DH;un comprimé
62056504;677;2CH à 30CH et 4DH à 60DH;un comprimé
62056600;39422;25 mg;une gélule
62057517;82;10 mg;un comprimé
62059315;549;30 g;100 mL de solution
62059315;5455;66,03 g;100 mL de solution
62059468;48539;262,05 mg;un comprimé
62059468;96035;250 mg;un comprimé
62059557;60077;512,46 mg;un comprimé
62059557;81234;500 mg;un comprimé
62061907;975;1,5 M.U.I.;un comprimé
62061907;2382;250 mg;un comprimé
62062343;16621;90 MBq;1 mL
62062457;54676;250 mg;une seringue préremplie de 5 ml de solution
62066676;55705;84,24 mg;un comprimé
62066676;80889;80 mg;un comprimé
62066808;76589;0,05 mg;1 ml
62066822;3969;80 mg;un comprimé
62067340;1608;0,10 g;100 g de pommade ophtalmique
62067340;3434;600 000 U.l.;100 g de pommade ophtalmique
62067340;4455;350 000 U.l.;100 g de pommade ophtalmique
62067536;53028;2 mg;1 ml de solution
62067536;62835;2,68 mg;1 ml de solution
62067696;89971;5 mg;un comprimé
62069124;195;500 mg;une gélule
62069124;73957;525 mg;une gélule
62069359;5407;40 mg;une gélule
62070450;31844;20 mg;1 ml de solution
62070450;77742;23,4 mg;1 ml de solution
62071253;57088;20 mg;un comprimé
62071552;64818;1,000 mg;un comprimé
62072907;21562;2CH à 30CH et 4DH à 60DH;un comprimé
62072907;21562;2CH à 30CH et 4DH à 60DH;un comprimé
