codeCIS;codeSubstance;dosage;referenceDosage
60048672;1257;24 mg;un comprimé
60049895;11532;10 mg;un comprimé
60051024;1851;3CH;un comprimé
60051024;6580;3CH;un comprimé
60051024;9312;3CH;un comprimé
60051024;17778;3CH;un comprimé
60051024;21562;3CH;un comprimé
60051024;28951;4CH;un comprimé
60051024;91291;3CH;un comprimé
60051234;36065;0,5 mg;une capsule
60051316;95609;250 mg;un comprimé
60052254;3048;940 mg;1 g de granulés
60053064;4813;0,240 mg;un comprimé
60053064;51332;0,029 mg;un comprimé
60053694;52431;6,79 mg;un comprimé
60053694;69916;10 mg;un comprimé
60054312;50540;4 mg;une gélule
60054376;141;1000 mg;un flacon
60056815;769;600 mg;un comprimé
60058008;15734;160 mg;un comprimé
60058008;39727;10 mg;un comprimé
60058378;977;75 mg;un comprimé
60058517;83209;10 mg;un comprimé
60058620;35487;150 mg;un comprimé
60059081;5407;10 mg;un comprimé
60061171;2742;226 mg;une gélule
60061449;44570;q.s. (sous une pression de 10 à 12 bar, à -150 °C);une gélule
60061602;39422;200 mg;une gélule
60061709;10171;20 mg;un comprimé
60061709;73242;10 mg;un comprimé
60063973;72313;4CH à 30CH et 8DH à 60DH;un comprimé
60063973;72313;4CH à 30CH et 8DH à 60DH;un comprimé
60063973;72313;4CH à 30CH et 8DH à 60DH;un comprimé
60063973;72313;4CH à 30CH et 8DH à 60DH;un comprimé
60063973;72313;4CH à 30CH et 8DH à 60DH;un comprimé
60063973;72313;4CH à 30CH et 8DH à 60DH;un comprimé
60064527;33609;500 mg dont 450 mg de diosmine et 50 mg de flavonoïdes exprimés en hespéridine;un comprimé
60064872;32833;8 mg;une gélule
60065198;7958;200 mg;un comprimé
60065294;38524;20 mg;un comprimé
60065294;67373;22,56 mg;un comprimé
60067562;952;0,0276 g;100 ml
60067562;15401;0,02 g;100 ml
60068002;89971;10 mg;un comprimé
60068034;46403;21,77 mg;une gélule
60068034;75210;25 mg;une gélule
60068251;39727;10 mg;un comprimé
60068251;52431;6,79 mg;un comprimé
60068251;69916;10 mg;un comprimé
60068251;93748;13,87 mg;un comprimé
60068333;39727;5 mg;un comprimé
60068333;52431;3,395 mg;un comprimé
60068333;69916;5 mg;un comprimé
60068333;93748;6,935 mg;un comprimé
60069307;70638;20 mg;une gélule
60069339;80102;4 mg;un sachet-dose
60070359;706;500 mg;une capsule
60070665;29076;200 microgrammes;une seringue préremplie
60071190;10171;10,0 mg;un comprimé
60071233;28847;600 mg;un comprimé
60071379;1786;2,00 mg;un comprimé
60071379;71064;2,06 mg;un comprimé
60071952;38524;40,00 mg;un comprimé
60072050;2143;2CH à 30CH et 4DH à 60DH;un comprimé
60072050;2143;2CH à 30CH et 4DH à 60DH;un comprimé
60072050;2143;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé
60072050;2143;2CH à 30CH et 4DH à 60DH;un comprimé
60072050;2143;2CH à 30CH et 4DH à 60DH;un comprimé
60072050;2143;2CH à 30CH et 4DH à 60DH;un comprimé
60072506;18851;29,10 mg;un flacon de 12,5 ml
60072506;50405;25 mg;un flacon de 12,5 ml
60073451;2423;30,00 mg;un comprimé
60073608;37849;5 mg;un comprimé
60073907;33803;10 mg;un comprimé
60073907;70320;9,12 mg;un comprimé
60073914;2092;400 mg;un comprimé
60073960;24140;6,5 mg;une ovule
60074432;24519;160 mg;une gélule
60074795;15614;45 - 70 mg;1 ml de solution
60074934;1802;1000 mg;une ampoule de 10 ml
60075064;663;0,20 g;100 g de pâte pour application cutanée
60075064;929;28,30 g;100 g de pâte pour application cutanée
60075064;930;7,70 g;100 g de pâte pour application cutanée
60075192;26322;37,5 mg;une gélule
60075370;17477;600 microgrammes;un comprimé
60075452;39422;100 mg;une gélule
60076860;64391;20 mg;une gélule
60077460;15075;3CH à 30CH et 5DH à 60DH;une gélule
60077460;15075;3CH à 30CH et 5DH à 60DH;une gélule
60077460;15075;3CH à 30CH et 5DH à 60DH (pommade à 4 %);une gélule
60077460;15075;3CH à 30CH et 5DH à 60DH;une gélule
60077460;15075;3CH à 30CH et 5DH à 60DH;une gélule
60077460;15075;3CH à 30CH et 5DH à 60DH;une gélule
60077574;7436;2,5 mg;un comprimé
60078078;196;1,50 mg;un comprimé
60078765;59691;400 mg;un comprimé
60079721;24519;160 mg;une gélule
60080218;2640;500 mg;un suppositoire
60080232;21962;540 mg;1 ml de solution injectable
60080232;34855;20 mg;1 ml de solution injectable
60082023;2202;500 mg;un comprimé
60082023;3193;4 mg;un comprimé
60082062;17563;20 mg;une seringue préremplie de 1 ml
60082062;51856;18 mg;une seringue préremplie de 1 ml
60082450;2345;12,5 mg;un stylo injecteur prérempli de 0,25 mL de solution
