codeCIS;codeCIP7
60195398;3487273
60196176;3594862
60196945;4151500
60196977;5724205
60196977;5724257
60196977;5724317
60197011;2784750
60199966;5504152
60200500;3772134
60200678;4900089
60200678;4900090
60200938;3001212
60200938;3862877
60202031;3012407
60202031;3060333
60202750;3022853
60203418;3012507
60203546;3001814
60203795;2784997
60203795;2785011
60204573;3819781
60205159;3012689
60205159;3012690
60205458;3618864
60206154;3288993
60206332;3575327
60207459;4919013
60208251;3537864
60208447;5704303
60209531;4995698
60209645;3669146
60209645;3669152
60209645;3923171
60209937;3294798
60210697;3564602
60210811;3013743
60211183;3792007
60212424;3394117
60213914;5504953
60214350;3631899
60215018;3014521
60216127;5502281
60216725;4902165
60217108;2207900
60217542;3022629
60219803;3795394
60221042;3981352
60222137;3312734
60223278;5592459
60223417;2194764
60224316;3723242
60224437;3986757
60224800;5595392
60225681;3918589
60226897;3359500
60226915;3771198
60226979;2682713
60227166;3023242
60230550;3463947
60231339;4900050
60232074;3139193
60232334;4991223
60232359;2244870
60232359;2244887
60233913;3552898
60234100;3595583
60234100;5636955
60234214;3882704
60234221;3287479
60234221;3715231
60235330;3556755
60235768;3931383
60236546;4900405
60236546;4900406
60237790;3907025
60237858;5710137
60238376;3337154
60238853;3907999
60238853;3908013
60238853;3908059
60238853;3908071
60239706;3296900
60239802;3000542
60240181;3289679
60241034;3006079
60241874;3004003
60242321;5581059
60243544;3658208
60244525;3599782
60244525;3599799
60244525;3599813
60244525;3857273
60245253;3010825
60245253;3810231
60246750;3390467
60247432;2774987
60247507;3019866
60248000;2798539
60248840;2754973
60249796;3005983
60249903;3776445
60250567;3012020
60251135;3011289
60251135;3011290
60251352;5608309
60251516;3589909
60252027;3003684
60252027;3003686
60252340;5580120
60252422;3306900
60252447;3335468
60253606;3017455
60254754;3016516
60254779;3017639
60254779;3017640
60256036;5502287
60258521;2773841
60259242;3293698
60259993;5661060
60260166;3544887
60260166;3544893
60260497;3389501
60260910;3696344
60261656;3016891
60262879;4902053
60263461;4900255
60263461;4900338
60264410;3628880
60264830;3306159
60265252;3945439
60265569;3611483
60265932;2237143
60265932;3004272
60266144;3744497
60266265;5505790
60267171;3974978
60267506;2788676
60268519;3592455
60268519;3592461
60269037;3220506
60270114;3181031
60270395;5856102
60270452;2751779
60270452;2751785
60270452;2751791
60270452;2751816
60270712;4910064
60270712;4910101
60271045;5524995
60271248;3191992
60271248;5746425
60272948;5771417
60273765;4900350
60274212;3017103
60274212;3017104
60274536;3638708
60274536;3638714
60274618;2235859
60275086;3338461
60275086;3778421
60275467;3440567
60275990;3818379
60275990;3818391
60277824;2738193
60279775;2203233
60281114;3969925
60281210;3018695
60281598;3528411
60282629;3008791
60282789;4931221
60282789;4931244
60282814;3471823
60282814;3471846
60282846;3608133
60282999;3910487
60282999;3910493
60284142;5645397
60284377;2215302
60284377;2215319
60284516;3932916
60286296;3017666
60286296;3017668
60286346;2183097
60286346;2183105
60286346;2183111
60286556;3383496
60287206;5500401
60287277;3003171
60287277;3021821
60287373;3299040
60287373;3299063
60288137;3002201
60288443;2750484
60288817;4900462
60290800;3111272
60290800;5544383
60291795;3171914
60291941;3548997
60292267;5665371
60292267;5665388
60292349;3312639
60292573;3002103
60292573;3625189
60293846;3089874
60294713;3919169
60294713;3919181
60295046;3352082
60295135;3021059
60295320;3709621
60295320;3709696
60295320;3900336
60295427;5502669
60295427;5502673
60296511;2797310
60296511;2797362
60297517;5619744
60298028;3069363
60298455;3390556
60298932;3641030
60299831;3024138
60300340;3856463
60300340;3856492
60300340;3856552
60300408;3851193
60301200;5577520
60302512;3547733
60302512;3717885
60303404;3900069
60304050;3171618
60304591;3001410
60304591;3821298
60304591;5500495
60305960;3396435
60305960;3841421
60306813;5744283
60306813;5744337
60306813;5757819
60306813;5757854
60307032;3741228
60307242;4155337
60307630;3001374
60308369;4901438
60310861;3480940
60311269;3980890
60311269;3980915
60311269;3980921
60311803;3617706
60313672;3011557
60313672;4950099
60314183;3005409
60314183;3005415
60314272;3599138
60316362;2770831
60316362;5861770
60316818;2695578
60316818;2695584
60316818;2695590
60319789;2694426
60319789;2694455
60320656;3013772
60321676;3007530
60322461;3000646
60322461;3000652
60323481;5601336
60323969;3720338
60324658;3026916
60325201;3001194
